Route_ID,Route_Type,Segment,Time (min),Distance (km),Service Time,PERM_NOTES,NOTE
location,Optimal,Haul -> Stop 2,34.83,30.09,0,,
location,Optimal,Stop 2 -> LF2,15.71,13.27,0,,
location,Optimal,LF2 -> Haul,30.24,30.88,0,,
location,Optimal,Haul -> Stop 4,31.22,27.96,0,,
location,Optimal,Stop 4 -> LF2,11.14,11.13,0,,
location,Optimal,LF2 -> Haul,30.24,30.88,0,,
location,Optimal,Haul -> Stop 7,32.14,28.04,0,,
location,Optimal,Stop 7 -> LF1,17.15,5.99,0,,
location,Optimal,LF1 -> Stop 7,17.4,6.01,0,,
location,Optimal,Stop 7 -> Stop 5,6.22,1.82,0,,
location,Optimal,Stop 5 -> LF1,18.61,5.94,0,,
location,Optimal,LF1 -> Stop 5,18.57,5.94,0,,
location,Optimal,Stop 5 -> Stop 6,3.33,0.28,0,,
location,Optimal,Stop 6 -> LF1,19.12,5.98,0,,
location,Optimal,LF1 -> Stop 6,19.07,5.98,0,,
location,Optimal,Stop 6 -> Stop 1,9.28,3.53,0,,
location,Optimal,Stop 1 -> LF1,17.25,6.88,0,,
location,Optimal,LF1 -> Stop 1,17.06,6.92,0,,
location,Optimal,Stop 1 -> Stop 3,7.63,4.82,0,,
location,Optimal,Stop 3 -> LF1,10.56,2.94,0,,
location,Optimal,LF1 -> Stop 3,10.15,2.69,0,,
location,Optimal,Stop 3 -> Haul,35.67,31.11,0,,
location,Manual,Haul -> Stop 1,34.83,30.09,0,,
location,Manual,Stop 1 -> LF1,17.25,6.88,0,,
location,Manual,LF1 -> Stop 1,17.06,6.92,0,,
location,Manual,Stop 1 -> Haul,36.6,29.68,0,,
location,Manual,Haul -> Stop 2,34.83,30.09,0,,
location,Manual,Stop 2 -> LF2,15.71,13.27,0,,
location,Manual,LF2 -> Haul,30.24,30.88,0,,
location,Manual,Haul -> Stop 3,35.04,32.18,0,,
location,Manual,Stop 3 -> LF1,10.56,2.94,0,,
location,Manual,LF1 -> Stop 3,10.15,2.69,0,,
location,Manual,Stop 3 -> Haul,35.67,31.11,0,,
location,Manual,Haul -> Stop 4,31.22,27.96,0,,
location,Manual,Stop 4 -> LF2,11.14,11.13,0,,
location,Manual,LF2 -> Haul,30.24,30.88,0,,
location,Manual,Haul -> Stop 5,34.13,28.81,0,,
location,Manual,Stop 5 -> LF1,18.61,5.94,0,,
location,Manual,LF1 -> Stop 5,18.57,5.94,0,,
location,Manual,Stop 5 -> Stop 6,3.33,0.28,0,,
location,Manual,Stop 6 -> LF1,19.12,5.98,0,,
location,Manual,LF1 -> Stop 6,19.07,5.98,0,,
location,Manual,Stop 6 -> Stop 7,6.85,1.67,0,,
location,Manual,Stop 7 -> LF1,17.15,5.99,0,,
location,Manual,LF1 -> Stop 7,17.4,6.01,0,,
location,Manual,Stop 7 -> Haul,33.19,27.63,0,,
